clone_id,0,1,2,3,4,5,6,7,8,9
A,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
B,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
C,0.7272727272727273,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
E,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
F,0.72,0.0,1.0,0.6428571428571429,0.8,0.0,1.0,0.7142857142857142,0.0,0.6666666666666666
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
H,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
I,0.6000000000000001,0.0,1.0,0.6666666666666666,0.0,0.0,1.0,0.6428571428571428,0.0,0.42857142857142855
J,0.0,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.0,1.0
K,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,0.6923076923076923,0.0,1.0,0.6666666666666666,0.0,1.0,1.0,0.6666666666666666,0.0,0.5
