,ncells,n_mutation_groups,mutation_group_size,coverage,n_clusters,seed,accuracy_given_clusters,error_given_clusters,accuracy_given_k_kmeans,error_given_k_kmeans,accuracy_kmeans,error_kmeans,accuracy_phertilizer,error_phertilizer,accuracy_given_k_kmeans_post,error_given_k_kmeans_post,accuracy_kmeans_post,error_kmeans_post,accuracy_sbmclone,error_sbmclone,accuracy_pharming,error_pharming
0,1000,5,100,0.02,5,0,1.0,,0.25798358955012735,,0.25798358955012735,,0.199519004055456,,0.39430349900971423,,0.39430349900971423,,0.13708384419503913,,0.5194096010563048,
1,1000,5,100,0.02,5,1,0.9213287989140747,,0.5520558142250376,,0.5520558142250376,,0.19995475311254798,,0.5520558142250376,,0.5520558142250376,,0.1129712609285829,,0.3892910834440179,
2,1000,5,100,0.02,5,2,1.0,,0.2517887720156556,,0.31396006604696675,,0.35152427837573386,,0.44009907045009783,,0.594285102739726,,0.1098489481409002,,0.49330357142857145,
3,1000,5,100,0.02,5,3,0.8396932668896625,,0.15567994781592978,,0.15567994781592978,,0.19934618214364272,,0.31532679515476975,,0.31532679515476975,,0.08752209100355732,,0.31691962287907405,
4,1000,5,100,0.02,5,4,0.7744298660102709,,0.5552332183175461,,0.5552332183175461,,0.29166391947429726,,0.5552332183175461,,0.5552332183175461,,0.15102964770005056,,0.5736650476546303,
5,1000,5,100,0.02,10,0,1.0,,0.5469856056419568,,0.5469856056419568,,0.19898599159671237,,0.5469856056419568,,0.5469856056419568,,0.13411927756287115,,0.5055831864073752,
6,1000,5,100,0.02,10,1,0.8375315721209639,,0.3465765581268346,,0.17699349974590606,,0.34747157561001507,,0.38702679743023793,,0.39850274193915397,,0.09456087256619716,,0.592987007076706,
7,1000,5,100,0.02,10,2,0.9242955845838281,,0.5538792327899529,,0.5538792327899529,,0.19921551693115983,,0.5538792327899529,,0.5538792327899529,,0.12535535643599985,,0.5968458742667963,
8,1000,5,100,0.02,10,3,1.0,,0.46487352214469096,,0.46487352214469096,,0.19986961875558346,,0.46487352214469096,,0.46487352214469096,,0.15030060120240482,,0.29237591649161776,
9,1000,5,100,0.02,10,4,1.0,,0.3742954070981211,,0.3742954070981211,,0.33542971468336813,,0.4419537230340988,,0.4419537230340988,,0.14349338900487127,,0.4396920668058455,
10,1000,5,100,0.02,15,0,0.6812524176849387,,0.5541751048611585,,0.5541751048611585,,0.19871663594784628,,0.5541751048611585,,0.5541751048611585,,0.11111869600503636,,0.43760287012386134,
11,1000,5,100,0.02,15,1,1.0,,0.14994522307430774,,0.15453137395640512,,0.2643345547958143,,0.4109704960145064,,0.390548147028824,,0.13086774205734578,,0.5399040459370632,
12,1000,5,100,0.02,15,2,1.0,,0.40761676646706585,,0.40761676646706585,,0.3859161676646707,,0.5121516966067864,,0.5121516966067864,,0.13510578842315368,,0.48383233532934133,
13,1000,5,100,0.02,15,3,1.0,,0.2915468032524889,,0.2915468032524889,,0.2947509569583148,,0.5533752757833026,,0.5533752757833026,,0.15021322044733415,,0.4948741336701203,
14,1000,5,100,0.02,15,4,1.0,,0.22819574923466926,,0.22819574923466926,,0.36377990052893344,,0.44845311088304696,,0.44845311088304696,,0.10080436479741761,,0.5679675096269396,
15,1000,5,100,0.05,5,0,0.923436763180232,,0.727558238234462,,0.4651136470810148,,0.5106479298311799,,0.727558238234462,,0.7223427331887202,,0.17957181929642554,,0.7464019617089503,
16,1000,5,100,0.05,5,1,0.8239166289609271,,0.784150453198663,,0.5323953118386292,,0.3875979741071038,,0.784150453198663,,0.6527009472654824,,0.1803161443813583,,0.48316377913680614,
17,1000,5,100,0.05,5,2,0.922945205479452,,0.6680299045988258,,0.5578751834637965,,0.5539077788649707,,0.6680299045988258,,0.7227709148727984,,0.15922364236790607,,0.5722006482387475,
18,1000,5,100,0.05,5,3,0.9155346212483219,,0.716067080801875,,0.665149687881615,,0.329449867643601,,0.716067080801875,,0.7118878042490576,,0.13155240023968265,,0.5175173125203844,
19,1000,5,100,0.05,5,4,0.9268074694329063,,0.7400569950843571,,0.5967634410965327,,0.52936565496729,,0.7400569950843571,,0.7424745243694277,,0.19029618396665274,,0.7513681017999604,
20,1000,5,100,0.05,10,0,1.0,,0.7572695455382753,,0.7591116023262545,,0.5660289641500662,,0.7572695455382753,,0.7591116023262545,,0.18876696227292264,,0.4638649860091401,
21,1000,5,100,0.05,10,1,0.7578901859057501,,0.694586661205543,,0.6651269331998392,,0.459955552521598,,0.694586661205543,,0.6651269331998392,,0.15207712320143202,,0.80308098391244,
22,1000,5,100,0.05,10,2,1.0,,0.7429378531073446,,0.28013782431897516,,0.5212494152362446,,0.7429378531073446,,0.6851811868005326,,0.16657670301198316,,0.7071053294469034,
23,1000,5,100,0.05,10,3,1.0,,0.5847357365333076,,0.5847357365333076,,0.34178396954551676,,0.6905216054599158,,0.6905216054599158,,0.16871493992000064,,0.4121576486305945,
24,1000,5,100,0.05,10,4,1.0,,0.7686673625608907,,0.6847599164926931,,0.6135003479471121,,0.7686673625608907,,0.7500608907446068,,0.19832985386221294,,0.6761830201809325,
25,1000,5,100,0.05,15,0,1.0,,0.3235033108061984,,0.6659612715316177,,0.47203070365060945,,0.6845139220727998,,0.7714064668805607,,0.14707109321076145,,0.5845222654561176,
26,1000,5,100,0.05,15,1,1.0,,0.7464092780778966,,0.7774847946809716,,0.43952249631672397,,0.7464092780778966,,0.7774847946809716,,0.1577197688035964,,0.5920441237580749,
27,1000,5,100,0.05,15,2,1.0,,0.8070499001996008,,0.5723992015968064,,0.7010219560878244,,0.8070499001996008,,0.7573493013972056,,0.1930938123752495,,0.6009261477045909,
28,1000,5,100,0.05,15,3,0.9245347740331018,,0.7468796532341683,,0.39267644284366693,,0.5125866329879708,,0.7468796532341683,,0.6321304113946254,,0.18131923817542547,,0.6235314295514964,
29,1000,5,100,0.05,15,4,1.0,,0.31119356508162066,,0.6173083164478128,,0.5962913256668684,,0.5280738226187031,,0.7579098795645729,,0.16582896941308561,,0.7223932703525345,
30,1000,5,100,0.1,5,0,1.0,,0.7393379232292747,,0.4438649438838065,,0.7535225879468075,,0.8515703102895407,,0.8088465528623975,,0.1861265679524663,,0.8942186173724418,
31,1000,5,100,0.1,5,1,0.8239166289609271,,0.6385430502240451,,0.48395195072468,,0.8629749098711194,,0.6863514953366514,,0.6219549574533301,,0.17441215535737742,,0.5798096711572986,
32,1000,5,100,0.1,5,2,0.8480308219178082,,0.7718933463796478,,0.4148116438356164,,0.7780393835616438,,0.7718933463796478,,0.7584164016634051,,0.1912457191780822,,0.7181766756360078,
33,1000,5,100,0.1,5,3,1.0,,0.7314492456822992,,0.7314492456822992,,0.5767174096070267,,0.7984845381937333,,0.7984845381937333,,0.18993332878239697,,0.570126136785977,
34,1000,5,100,0.1,5,4,1.0,,0.6415390137945686,,0.6716042870852655,,0.6164919452319729,,0.739961759082218,,0.8416591576741903,,0.19833263737793308,,0.874662095338564,
35,1000,5,100,0.1,10,0,1.0,,0.7663307105953352,,0.7634272782295203,,0.5421611711972492,,0.8672140206836663,,0.8542669929738691,,0.19638956869556065,,0.4670315693446664,
36,1000,5,100,0.1,10,1,0.9163765444740255,,0.7201401688397387,,0.4480548539528675,,0.7568510554379897,,0.7201401688397387,,0.7849303327492965,,0.18849219893659788,,0.9318724827633286,
37,1000,5,100,0.1,10,2,1.0,,0.7807495771708229,,0.44580589441865487,,0.7712044334089028,,0.7807495771708229,,0.7409316636079024,,0.1902821260210875,,0.5380276368347188,
38,1000,5,100,0.1,10,3,1.0,,0.7646618538281382,,0.7237205334363506,,0.4466845337260867,,0.8838238726448882,,0.8846286951412866,,0.19576502402395152,,0.4273687938125246,
39,1000,5,100,0.1,10,4,1.0,,0.8875260960334029,,0.5055323590814196,,0.8480427974947808,,0.8875260960334029,,0.8535577592205985,,0.1923277661795407,,0.7273225469728601,
40,1000,5,100,0.1,15,0,1.0,,0.5643236929331543,,0.4109647226583536,,0.7052586069583817,,0.7099233167224156,,0.776169780265623,,0.19329343679128647,,0.6157113492767804,
41,1000,5,100,0.1,15,1,1.0,,0.9119262589248611,,0.6055079143213328,,0.6722224320955007,,0.9119262589248611,,0.8471157115333762,,0.19551206981224736,,0.8207245665067432,
42,1000,5,100,0.1,15,2,1.0,,0.8856686626746507,,0.5559281437125748,,0.846938123752495,,0.8856686626746507,,0.9000558882235529,,0.18871856287425148,,0.6748423153692614,
43,1000,5,100,0.1,15,3,0.91332413405992,,0.7962282979005387,,0.35623016893919907,,0.7077749452331392,,0.7962282979005387,,0.788923451130809,,0.18984805606879185,,0.7373841320329615,
44,1000,5,100,0.1,15,4,1.0,,0.9508609422559056,,0.6034841188389779,,0.741226108084875,,0.9508609422559056,,0.8980904011297949,,0.18449514486460883,,0.7676903239388437,
45,1000,5,500,0.02,5,0,0.9184100891313461,,0.6030017782429644,,0.6030017782429644,,0.4186190121298638,,0.6030017782429644,,0.6030017782429644,,0.13020903259746772,,0.6555709146306379,
46,1000,5,500,0.02,5,1,0.9206457159407675,,0.4685970512468834,,0.4685970512468834,,0.22273154270880105,,0.4685970512468834,,0.4685970512468834,,0.13562456037649395,,0.4499783157381767,
47,1000,5,500,0.02,5,2,0.7663680155654234,,0.1335155575779448,,0.1335155575779448,,0.17505609514992704,,0.34618788344761575,,0.34618788344761575,,0.13513580518115204,,0.559926880168207,
48,1000,5,500,0.02,5,3,0.9178808368645853,,0.2553174756245307,,0.2553174756245307,,0.22719822385672012,,0.5836898914752487,,0.5836898914752487,,0.09663615090726492,,0.548124270109099,
49,1000,5,500,0.02,5,4,0.9232720863155646,,0.5042963776097209,,0.5042963776097209,,0.516516618840457,,0.559365587476532,,0.559365587476532,,0.13673261649273644,,0.7236354181631542,
50,1000,5,500,0.02,10,0,0.8413495394112255,,0.5013280321016006,,0.5013280321016006,,0.30971887944056475,,0.5013280321016006,,0.5013280321016006,,0.1499974801442175,,0.5739495947118443,
51,1000,5,500,0.02,10,1,0.9226541907206874,,0.5354011520963122,,0.1562061714362755,,0.363722697945164,,0.5354011520963122,,0.4618702808710692,,0.14276275916393436,,0.5360134646341136,
52,1000,5,500,0.02,10,2,0.9217490144458399,,0.22952364322603608,,0.26540755266922317,,0.2997790478237218,,0.5047699478176775,,0.51316646630983,,0.1485127702298843,,0.6064257459654401,
53,1000,5,500,0.02,10,3,1.0,,0.2998118382661311,,0.2998118382661311,,0.3374323308186365,,0.47421466585032734,,0.47421466585032734,,0.16029918772953536,,0.5711171578319078,
54,1000,5,500,0.02,10,4,1.0,,0.5222505043439427,,0.5222505043439427,,0.6466119591121327,,0.5222505043439427,,0.5222505043439427,,0.1652598084526225,,0.5534317748558059,
55,1000,5,500,0.02,15,0,1.0,,0.23218660489862514,,0.23218660489862514,,0.28807619639690585,,0.406377038467084,,0.406377038467084,,0.13589437265428433,,0.6001149724459358,
56,1000,5,500,0.02,15,1,1.0,,0.19242686110866644,,0.220576697294777,,0.32655077044646386,,0.5079132501062652,,0.5718559061944682,,0.16150258126248734,,0.6094594484942791,
