cell,cluster
437,11
362,16
343,7
113,14
806,14
661,14
307,11
284,2
478,2
509,11
85,13
674,13
517,11
163,13
353,2
658,3
907,14
144,4
292,14
718,13
766,11
303,11
519,2
528,16
611,7
365,13
304,13
711,14
812,18
555,11
512,2
333,16
814,14
128,13
64,2
375,2
19,13
225,14
76,15
751,4
539,2
740,15
315,14
728,7
387,16
414,12
828,4
794,7
445,14
161,11
129,16
902,14
614,14
137,4
169,12
166,13
106,2
331,14
18,2
386,11
149,13
294,14
880,14
694,7
81,4
218,2
872,2
572,15
549,2
681,14
349,13
760,13
819,14
662,5
490,14
502,13
190,8
820,14
731,3
677,7
380,14
119,13
533,2
702,10
357,11
134,16
763,4
530,11
214,13
68,13
866,14
296,11
514,10
566,14
641,7
624,5
833,15
5,14
351,4
212,9
326,12
659,11
493,14
188,14
258,4
344,3
883,14
273,14
37,13
651,11
889,14
647,14
459,13
546,14
162,2
623,14
208,14
132,5
562,3
124,8
700,1
817,7
487,2
534,14
235,2
198,13
892,15
852,4
206,11
268,11
500,14
586,5
234,13
390,2
506,6
34,13
738,12
321,3
289,3
103,11
26,5
807,14
142,5
849,10
536,2
148,11
56,4
318,13
232,14
396,3
508,13
248,14
105,12
860,7
374,3
91,13
652,14
356,4
79,13
495,14
377,5
194,2
236,3
486,13
600,2
196,14
836,1
591,3
93,13
857,2
217,2
618,12
402,12
131,14
448,11
322,2
696,5
619,14
434,5
378,14
463,11
749,2
78,5
192,11
547,3
542,13
540,11
846,11
545,11
501,15
395,12
741,11
837,7
593,7
797,14
587,11
425,16
436,5
650,10
733,14
207,11
613,11
713,2
468,14
449,13
152,11
311,11
839,7
176,8
412,7
642,12
795,14
706,13
251,13
688,5
470,14
898,14
882,14
447,11
858,14
541,7
160,14
227,3
904,12
313,11
479,14
404,14
759,7
583,14
625,11
416,13
290,15
54,14
668,14
488,13
510,14
457,2
453,14
21,11
328,12
302,2
135,13
439,3
9,12
262,14
909,12
350,12
263,13
844,3
777,10
65,2
903,1
774,13
410,13
111,14
400,2
347,7
571,13
116,14
340,16
526,13
482,14
476,14
716,11
379,13
346,13
71,11
189,2
532,13
14,14
869,12
646,10
41,14
592,14
481,11
710,18
419,2
672,2
29,14
393,13
3,2
61,14
193,11
88,2
707,13
832,13
901,1
431,2
793,16
675,12
756,15
742,14
873,3
871,5
185,12
584,14
598,5
483,3
680,14
830,13
305,16
199,4
143,3
489,3
905,8
89,13
63,14
75,11
548,15
894,3
697,14
22,14
679,2
417,14
816,14
226,14
7,15
338,3
899,2
792,13
355,2
785,2
670,14
864,13
406,14
454,7
855,3
335,5
683,2
471,1
787,2
435,15
77,14
550,7
287,10
779,14
123,5
359,14
241,2
708,10
606,11
748,14
156,2
690,13
664,2
451,14
758,11
341,16
159,5
911,14
745,13
778,13
136,14
786,13
503,14
301,2
602,13
656,5
809,16
829,11
4,2
87,13
464,14
286,2
635,13
881,16
167,14
399,4
825,13
39,7
643,2
183,6
676,14
594,14
329,14
403,13
28,13
174,2
430,13
146,4
13,14
724,7
634,2
765,15
191,3
401,17
363,13
271,6
279,12
577,2
790,14
92,13
420,10
867,13
72,16
617,1
175,11
