,0,1,2,3,4,5,6,7,8,9,10,11,12,13
A,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.6035353535353529,0.17424242424242475,0.0,0.2222222222222221,0.0,0.0,0.0,0.0
D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.595525889044925e-18,1.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
F,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,-6.938893903907228e-18,6.938893903907228e-18,0.0,0.05,0.0,0.0,0.0,0.95,0.0,0.0,0.0
I,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.4444444444444444
K,0.0,0.0,0.0,0.0,0.0,0.0,0.13958333333333348,0.0,0.6666666666666667,0.0,0.0,0.0,0.19375,0.0
