clone_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,1.0,0.0,0.8888888888888888,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,1.0,0.0
E,0.3333333333333333,0.9230769230769231,0.0,0.6866071428571429,0.7333333333333333,0.1935483870967742,0.0,0.0,0.8,0.0,0.3333333333333333,0.0,0.375,0.6478758169934641,0.0,0.0,0.0,0.7096774193548387,0.7567567567567568,0.0
G,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.8571428571428571
H,0.0,0.9817164802137252,0.552565180824222,0.770979020979021,0.7363050483351234,0.4230769230769231,0.3157894736842105,0.0,0.0,0.0,0.0,0.4244120940649496,0.5833333333333334,0.4783607350096712,0.0,0.7692307692307693,0.6556490384615384,0.7019410227696902,0.75,0.716301816488123
J,0.0734126984126984,0.9255758748021804,0.5,0.7128129602356406,0.6508720930232559,0.30000000000000004,0.0,0.5777777777777777,0.027493606138107418,0.0,0.029411764705882353,0.0,0.5581395348837209,0.6551117047110248,0.0,0.0,0.0,0.6,0.7407407407407407,0.5977011494252874
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
