clone_id,0,1,2,3,4,5,6
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.8,0.0,0.0,0.6666666666666666,0.0,0.0,1.0
E,0.30000000000000004,0.0,0.0,0.8181818181818182,0.4,0.0,0.7619047619047619
G,0.0,0.0,1.0,0.5,0.0,0.0,0.0
H,0.0,0.5161290322580645,0.4745762711864407,0.8475497420781135,0.3011904761904762,0.0,0.8536585365853658
J,0.2608695652173913,0.0,0.16666666666666666,0.8494140470346029,0.5128205128205128,0.0,0.7692307692307693
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,0.0,0.0,1.0,0.0,0.0,0.0
P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
