clone_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,1.0,0.0,0.8888888888888888,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.8,0.0,0.0
E,0.3333333333333333,0.9230769230769231,0.4171511627906977,0.6896551724137931,0.5125223613595706,0.631578947368421,0.0,0.0,0.8076923076923077,0.0,0.2222222222222222,0.0,0.36363636363636365,0.6470588235294118,0.0,0.0
G,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
H,0.0,0.9823785126533147,0.6923076923076923,0.7692307692307693,0.75,0.7333333333333333,0.32,0.0,0.0,0.0,0.0,0.4444444444444444,0.5833333333333334,0.4755639097744361,0.23392612859097128,0.7674418604651163
J,0.11764705882352941,0.9257728803183348,0.5905844155844155,0.7088607594936709,0.6550156739811912,0.6518518518518519,0.0,0.6,0.05614241001564945,0.0,0.15384615384615385,0.0,0.5581395348837209,0.6545454545454545,0.0,0.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
