,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,0.0,-0.0,-0.0
2,-0.0,3.870271597650188e-06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,0.0,1.0,0.0,-0.0,-0.0
3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.6797149315370703e-06,-0.0,1.0,-0.0,0.0,-0.0,0.0,1.0,0.0,-0.0,3.8111333218411896e-06
4,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,1.0,0.0,3.679714931436395e-06,-0.0,0.0,1.0,0.0,-0.0,3.679714931436395e-06
5,-0.0,0.9999961297284023,0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,1.0,0.0,-0.0,-0.0,0.0,1.0,0.0,-0.0,3.679714931436395e-06
6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.9999963202850685,-0.0,1.0,-0.0,1.0,0.0,-0.0,-0.0,0.0,1.0,0.0,-0.0,3.679714931436395e-06
7,-0.0,3.6797149315370703e-06,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,0.9999963202850685,-0.0,1.0,-0.0,-0.0,-0.0,0.0,1.0,0.0,-0.0,7.497079226773877e-06
8,-0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,1.0,0.0,-0.0,-0.0,0.0,1.0,0.0,-0.0,1.0
9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,1.0,0.0,-0.0,1.0
10,-0.0,-0.0,1.0,0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,1.0,0.0,-0.0,1.0
11,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,0.0,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,-0.0,1.0
A,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
B,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
C,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.6797149315370703e-06,0.0,0.0,1.0,0.0,0.0,3.6797149315370703e-06
F,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
G,0.0,0.9999961888666782,0.0,0.0,0.0,0.0,0.9999961888666782,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
I,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
J,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.9999963202850685,0.0,0.0,0.0,1.0,0.0,0.9999963202850685,0.0,0.0,1.0,0.0,0.0,1.0
