,0,1,2,3,4,5,6,7,8
A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
F,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,0.0,0.0,0.049999999999998046,0.0,0.950000000000002
H,0.0,0.0,1.9459070412305635e-09,0.0,0.0,1.9459070412305635e-09,0.0,-3.891813927038493e-09,1.0
I,0.026923076923076744,0.0,0.0,3.565736113463023e-19,0.0,0.04999999999999999,0.9230769230769232,0.0,5.551115123125783e-17
J,0.0,5.177641532323019e-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.7049689440993787,0.2950310559006213,0.0
