clone_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
A,0.0,0.5535714285714286,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
B,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8809523809523809,0.0,0.6666666666666666,0.0,0.8
C,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.44047619047619047,0.0,1.0
D,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.775,0.0,1.0,1.0,0.0,1.0,0.0,1.0
E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4
F,0.0,1.0,0.23076923076923078,0.7207792207792207,0.0,0.7272727272727273,0.6666666666666666,0.0,0.0,0.7272727272727273,0.0,1.0,1.0,0.6488095238095237,0.6666666666666666,0.0,1.0
G,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,1.0
I,0.0,0.8571428571428571,0.0,0.75,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.75,1.0,1.0,1.0,0.4,0.8,0.0,1.0
J,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.75
K,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
M,0.0,1.0,0.0,0.7386363636363636,0.0,0.6428571428571428,0.6666666666666666,0.0,0.0,0.5454545454545454,0.0,1.0,1.0,0.4444444444444444,0.75,1.0,1.0
