clone_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
A,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,1.0,0.0,0.0,0.8937499999999999,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6000000000000001,0.0,0.0
D,1.0,0.0,0.0,0.5555555555555556,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7875000000000001,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
F,1.0,0.5714285714285714,0.0,0.873641304347826,0.75,0.0,0.75,0.6000000000000001,1.0,0.6666666666666666,1.0,0.75,0.5,0.0,0.6000000000000001,0.0,0.6666666666666666,0.0,0.9375
G,0.65,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
I,1.0,0.0,0.0,0.8571428571428571,0.6666666666666666,0.8888888888888888,0.75,0.6858974358974359,1.0,0.42857142857142855,1.0,0.6153846153846154,0.0,0.0,0.5,0.0,0.36141304347826086,0.0,0.0
J,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8571428571428571,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
M,1.0,0.0,0.0,0.8571428571428571,0.8181818181818181,0.0,0.835,0.26704545454545453,1.0,0.6201923076923077,1.0,0.5714285714285714,1.0,0.0,0.5424242424242424,1.0,0.6666666666666666,0.0,0.0
