clone_id,0,1,2,3,4,5,6,7,8,9
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,0.6666666666666666,0.0,0.8571428571428571,0.0,1.0,0.0,0.0,0.0,0.0
E,0.5714285714285714,0.824570610687023,0.0,0.6923076923076923,0.0,0.4,0.0,0.0,0.4666666666666667,0.0
G,0.0,0.5,0.0,0.9375,1.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.8461538461538461,0.7959183673469388,0.7741935483870968,0.5285793562708102,0.1764705882352941,0.3333333333333333,0.0,0.7,0.0
J,0.07947368421052631,0.8571428571428571,0.0,0.7096774193548387,0.23529411764705882,0.38544804216867473,0.0,0.5649386845039018,0.5970149253731343,0.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
