cell,V1,V2
1217,-14.5234495480449,-6.55036441602708
258,-14.8322569210917,-6.26383964338303
855,-14.6970220883281,-5.2114957980156
978,-14.593886025706,-6.05636636533738
420,-14.9727865536601,-5.11363570013047
1138,-14.4144769986064,-5.66156713285447
1048,-15.1327387173564,-5.19440976896287
115,-14.7862192471415,-6.38194696226121
941,-14.508005746165,-6.40357486524583
1038,-14.9837499936015,-5.10312096395493
137,-15.1953207333476,-6.54789964475633
84,-14.4390264828593,-6.28820554533006
451,-14.6352087338359,-6.67355624952317
441,-14.385073312083,-6.57293550291062
963,-13.911907799998,-5.48717300214768
683,-13.895981438914,-5.55919114866258
506,-14.6423803646953,-6.20098392286302
732,-14.6413503964335,-6.02772514142991
930,-14.2941366513164,-6.21838371076585
1213,-14.5846353848369,-5.38992540159226
423,-14.6780268032939,-5.82612649717332
1035,-14.6093546231181,-6.27500526227952
680,-14.0948129971415,-5.80146352567674
726,-14.6516043026835,-6.57532493391038
411,-14.4998880703837,-6.60387603559495
211,-14.9192663510234,-4.75344840803147
275,-14.3235517819316,-5.95510331907273
918,-14.1604582150371,-5.24870197095872
555,-13.9764067013652,-5.28102103986741
241,-15.1315580685527,-6.52934114255906
915,-14.5065389950664,-5.93726531782151
1254,-14.526726372996,-6.44014970579148
1281,-14.9694849331767,-4.70994059362412
851,-14.5920149166972,-5.93576661863328
167,-14.005335458079,-5.57770959653855
526,-14.4408594448955,-5.50826827802659
364,-14.8786321957499,-4.8225285223961
89,-14.9150720913798,-4.75658337392808
104,-14.561228402415,-6.31961576261521
609,-14.6746126492412,-6.24102298536302
487,-14.4669481594951,-6.47076455869676
835,-14.6266294796855,-5.81347696104051
797,-14.9723879177958,-5.09382192411424
351,-14.9911371548564,-5.1312431506157
1021,-14.8627344448955,-5.21344415464402
1270,-14.6869417508037,-6.32079450407029
626,-14.4035917599589,-6.36152879514695
386,-13.9511762936503,-5.48007146635056
1292,-14.8043199856669,-6.43703405179978
606,-14.4107862790019,-6.22944347181321
579,-14.9986635525615,-5.11385742940904
1053,-14.9055677731425,-6.27350036420823
157,-14.7012811978251,-5.84144107618333
562,-14.5158430416972,-6.34802953519822
105,-14.1957613308818,-5.26254932203294
305,-14.9210039456279,-4.79729787626267
970,-14.8956781704814,-5.47853557386399
739,-14.9788938839824,-4.72146312513352
