cell,cluster
1217,1
258,1
855,1
978,1
420,1
1138,1
1048,1
115,1
941,1
1038,1
137,1
84,1
451,1
441,1
963,1
683,1
506,1
732,1
930,1
1213,1
423,1
1035,1
680,1
726,1
411,1
211,1
275,1
918,1
555,1
241,1
915,1
1254,1
1281,1
851,1
167,1
526,1
364,1
89,1
104,1
609,1
487,1
835,1
797,1
351,1
1021,1
1270,1
626,1
386,1
1292,1
606,1
579,1
1053,1
157,1
562,1
105,1
305,1
970,1
739,1
1104,1
1133,1
414,1
352,1
968,1
336,1
1212,1
964,1
485,1
730,1
1163,1
184,1
729,1
1131,1
402,1
737,1
611,1
1150,1
629,1
848,1
55,1
434,1
761,1
501,1
1178,1
179,1
689,1
564,1
607,1
752,1
816,1
593,1
232,1
722,1
767,1
507,1
1167,1
1232,1
145,1
770,1
742,1
1258,1
1093,1
227,1
887,1
41,1
687,1
222,1
1287,1
548,1
622,1
83,1
809,1
1294,1
799,1
972,1
409,1
384,1
783,1
279,1
125,1
1146,1
404,1
11,1
1160,1
1182,1
709,1
96,1
796,1
323,1
575,1
178,1
281,1
302,1
276,1
422,1
587,1
1193,1
48,1
297,1
1196,1
122,1
1009,1
697,1
634,1
142,1
1078,1
410,1
670,1
49,1
655,1
623,1
958,1
790,1
707,1
327,1
274,1
733,1
553,1
660,1
1142,1
497,1
568,1
90,1
458,1
482,1
897,1
31,1
868,1
99,1
875,1
489,1
713,1
406,1
456,1
3,1
1083,1
26,1
324,1
151,1
1043,1
754,1
424,1
388,1
298,1
1143,1
1165,1
1305,1
354,1
677,1
543,1
955,1
1084,1
215,1
317,1
495,1
824,1
1237,1
1022,1
194,1
1015,1
746,1
1011,1
1008,1
1227,1
571,1
158,1
95,1
1155,1
154,1
849,1
807,1
183,1
966,1
400,1
658,1
173,1
1118,1
301,1
1179,1
131,1
674,1
60,1
265,1
1027,1
1268,1
1003,1
1236,1
121,1
757,1
138,1
280,1
976,1
656,1
702,1
471,1
1067,1
880,1
860,1
612,1
1047,1
65,1
283,1
1302,1
614,1
23,1
872,1
1119,1
175,1
106,1
685,1
992,1
272,1
691,1
1208,1
583,1
818,1
242,10
480,10
888,10
836,10
407,10
891,10
417,10
1105,10
516,10
782,10
132,10
513,10
345,10
651,10
1075,10
1128,10
531,10
9,10
356,10
838,10
759,10
1295,10
412,10
73,10
1045,10
189,10
218,10
348,10
937,10
413,11
1127,11
535,11
725,11
226,11
325,11
740,11
1259,11
295,11
36,11
385,11
802,11
1189,11
187,11
1002,11
845,11
758,11
475,11
444,11
1272,11
532,11
1249,11
1290,11
628,11
700,11
1012,11
771,11
1116,11
857,11
1301,11
43,11
1187,11
123,11
498,11
148,11
1080,11
1253,11
781,11
927,11
329,11
641,11
895,11
777,12
126,12
1037,12
690,12
563,12
250,12
1162,12
490,12
556,12
74,12
1157,12
249,12
192,12
1246,12
253,12
262,12
185,12
231,12
360,12
558,12
374,12
1136,12
650,12
15,12
794,12
1274,12
1300,12
405,12
529,12
1303,12
1085,12
944,12
1088,12
321,12
625,12
1,12
80,12
557,12
1289,12
1238,12
1092,12
931,12
1209,12
597,12
1151,12
843,12
508,13
452,13
974,13
831,13
403,13
335,13
408,13
727,13
760,13
1071,13
1042,13
1205,13
615,13
735,13
392,13
1197,13
461,13
1194,13
1094,13
5,13
692,13
1145,13
1054,13
201,13
288,13
1141,13
1267,13
256,13
1032,13
438,13
150,13
432,13
1159,14
234,14
998,14
805,14
789,14
926,14
920,14
511,14
936,14
118,14
1033,14
720,14
896,14
540,14
988,14
528,14
1031,14
401,14
604,14
1192,14
257,14
956,14
764,14
177,14
893,14
450,14
315,14
876,14
188,14
903,14
282,14
50,14
886,14
935,14
832,14
326,14
1134,14
751,14
884,14
995,14
261,14
1103,14
1129,14
934,14
1286,14
344,15
287,15
642,15
171,15
309,15
1261,15
25,15
1100,15
58,15
79,15
1055,15
774,15
1306,15
467,15
504,15
999,15
180,15
960,15
823,15
1201,15
640,15
1228,15
1120,15
864,15
1156,15
594,15
220,15
846,15
328,15
318,15
88,15
804,15
892,15
1001,15
1139,15
1063,15
223,15
219,15
459,15
390,15
703,15
950,15
883,15
870,15
273,15
387,15
1010,15
810,15
20,15
127,15
1061,15
263,15
303,15
140,15
64,15
254,15
1183,15
1280,15
1036,15
259,15
1161,15
1112,15
592,15
940,15
252,15
620,15
443,15
598,15
1283,15
221,15
856,15
395,15
1005,15
62,15
1203,15
143,15
245,15
997,15
51,15
365,15
679,15
542,15
91,15
445,15
1057,15
1293,15
714,15
1223,15
448,15
1173,15
310,15
314,15
85,15
233,15
775,15
859,15
239,15
492,15
1106,15
307,15
1216,15
243,15
129,15
97,15
28,15
421,15
172,15
1006,15
463,15
216,15
379,15
1172,15
924,15
865,15
588,15
238,15
780,15
230,15
4,15
1221,15
338,15
539,15
1222,15
358,15
682,15
653,15
929,15
113,15
109,15
693,15
530,15
1282,15
1186,15
334,15
439,15
165,15
605,15
368,15
101,15
77,15
1207,15
584,15
882,15
1137,15
199,15
264,15
962,15
1074,15
1065,15
1126,15
76,15
340,15
284,15
505,15
616,15
994,15
815,15
446,15
786,15
42,15
675,15
741,15
16,15
706,15
186,15
37,15
901,15
602,15
916,15
22,15
646,15
1017,15
203,15
763,15
124,15
1297,15
1050,15
361,15
481,15
520,15
711,15
320,15
296,15
293,15
755,15
494,15
1211,15
819,15
820,15
1251,15
1076,15
778,15
525,15
716,15
1275,15
370,15
33,15
990,15
1224,15
455,15
462,15
822,15
645,15
1177,15
669,15
638,15
652,15
785,15
630,15
196,15
299,15
917,15
120,15
235,15
341,15
1215,15
1030,15
367,15
114,15
255,15
869,16
1273,16
8,16
581,16
821,16
1176,16
1117,16
661,16
801,16
355,16
1052,16
673,16
591,16
428,16
376,16
502,16
34,16
86,16
14,16
817,16
738,16
12,16
119,16
1039,16
153,16
247,16
470,16
662,16
541,16
1081,17
1115,17
1070,17
914,17
160,17
1051,17
373,17
989,17
1190,17
349,17
1004,17
139,17
270,17
1166,17
21,17
1185,17
686,17
715,17
984,17
547,17
68,17
932,17
1229,17
1140,17
1247,17
1110,17
1226,17
938,17
814,17
1132,17
1099,17
453,17
342,17
576,17
921,17
983,17
465,17
144,17
10,17
134,17
522,17
776,17
721,17
718,17
488,17
308,17
306,17
946,17
152,17
898,17
1277,17
912,17
40,17
756,17
503,17
39,17
135,17
217,17
792,17
1199,17
1181,17
724,17
486,17
136,17
905,17
574,17
910,17
987,17
244,17
825,17
617,18
483,18
75,18
967,18
38,18
600,18
565,18
975,18
684,18
644,18
948,18
29,18
72,18
1191,18
694,18
1144,18
52,18
491,18
704,18
840,18
1109,18
291,18
224,18
1263,18
954,18
599,18
347,18
1114,18
339,18
911,18
357,18
92,18
747,18
268,18
608,18
519,18
447,18
240,19
162,19
712,19
1122,19
493,19
695,19
399,19
63,19
659,19
795,19
473,19
1174,19
633,19
734,19
1018,19
174,19
1000,19
191,19
1244,19
952,19
98,19
246,19
472,19
1250,19
791,19
554,19
1285,19
237,2
1059,2
908,2
572,2
1034,2
982,2
1066,2
1013,2
731,2
637,2
331,2
433,2
228,2
745,2
442,2
1262,2
66,2
1235,2
723,2
466,2
639,2
1147,2
1024,2
957,2
1299,2
671,2
942,2
827,2
100,2
381,2
277,2
195,20
769,20
996,20
251,20
621,20
1231,20
206,20
766,20
803,20
919,20
728,20
1168,20
663,20
913,20
993,20
53,20
70,20
415,20
549,20
1195,20
922,20
181,20
1284,20
779,20
371,20
116,20
847,20
359,20
1014,20
945,20
59,20
149,20
1058,20
544,20
829,20
430,20
35,21
923,21
613,21
1077,21
271,21
248,21
784,21
161,21
197,21
1097,21
1214,21
1101,21
1082,21
696,21
1248,21
478,21
419,21
1079,21
436,21
7,21
202,21
82,21
1220,21
881,21
1102,21
460,21
925,21
635,21
1020,21
533,21
468,21
425,21
959,21
837,21
977,21
1257,21
773,21
902,21
1219,21
1264,21
1234,21
393,21
1029,21
32,21
396,21
1260,21
654,21
561,21
534,21
266,21
1170,21
858,21
1023,21
290,21
798,21
566,21
619,21
1158,21
907,21
440,21
890,21
590,21
828,21
550,21
648,21
878,21
353,22
632,22
449,22
517,22
1149,22
753,22
811,22
1107,22
631,22
147,22
71,22
1040,22
225,22
1233,22
398,22
874,22
1130,22
1241,22
1271,22
382,22
1123,22
464,22
311,22
54,22
27,22
1153,22
861,3
866,3
209,3
46,3
512,3
595,3
676,3
665,3
198,3
879,3
130,3
156,3
627,3
853,3
1095,3
573,3
1025,3
1056,3
343,3
164,3
1091,3
1276,3
649,3
806,3
437,3
943,3
313,3
808,3
1049,3
951,3
110,3
159,4
578,4
319,4
429,4
474,4
570,4
743,4
1087,4
953,4
812,4
469,4
47,4
208,4
170,4
1098,4
567,4
499,4
537,4
871,4
1266,4
