,0,1,2,3,4,5,6,7,8
A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,0.0,-2.0654149061720253e-17,0.0,0.0,0.0,1.0
C,0.0,0.0,0.0,0.04999999999999993,0.21218323586744647,0.0,0.7378167641325536,0.0,0.0
D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
F,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.0,-5.551115123125783e-17,0.0,0.0,0.0,0.28333333333333344,0.0,0.04999999999999999,0.6666666666666666
H,0.0,0.0,0.0,0.0,0.0,0.0,-2.0654149061720253e-17,0.0,1.0
I,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
J,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
