cell,cluster
543,13
162,10
199,10
963,15
128,13
310,16
122,5
979,1
879,16
554,7
1185,7
1140,10
812,3
759,10
628,7
305,16
511,7
946,16
710,14
974,16
340,9
978,10
991,10
661,9
508,16
1017,7
535,12
539,16
565,3
286,16
295,4
99,7
37,9
860,15
997,4
998,9
177,7
934,14
523,16
944,7
61,7
152,3
931,11
675,10
335,7
905,2
743,3
646,16
984,7
900,4
491,11
70,13
159,16
1138,11
163,13
529,7
181,1
332,7
196,1
650,10
987,10
236,13
453,7
577,5
1143,7
22,10
660,7
1008,15
429,7
758,13
454,16
15,7
892,10
278,13
604,10
770,5
499,16
1152,7
204,7
512,7
635,1
723,14
229,12
241,7
328,16
250,13
902,16
666,16
249,10
477,16
265,7
507,7
1182,16
158,11
12,7
910,7
64,14
233,13
975,13
783,16
161,7
966,16
212,2
392,15
891,5
384,9
1023,7
470,12
114,9
689,4
792,16
634,7
850,4
976,10
630,7
65,5
538,7
800,9
1074,13
802,7
115,2
741,7
645,16
312,10
510,12
136,7
124,16
431,10
29,7
1117,3
178,7
528,7
147,5
989,7
648,16
762,10
550,7
237,15
503,16
627,12
914,7
1178,10
279,10
380,7
1052,13
621,7
421,7
119,7
347,7
456,7
31,7
224,7
1063,3
907,16
531,7
359,16
383,7
77,8
1044,2
501,10
915,7
949,10
540,12
832,7
66,4
353,7
426,7
44,7
856,13
647,10
285,9
68,11
307,11
695,7
408,10
352,13
21,7
716,7
277,7
674,7
609,7
811,13
720,1
1075,10
207,13
789,7
306,10
437,4
297,10
458,9
169,16
797,10
272,3
47,7
526,10
495,10
918,7
268,7
671,7
160,12
562,7
324,7
924,7
462,13
769,1
397,7
825,7
593,10
730,1
1043,10
1199,9
933,16
873,16
389,16
282,2
344,13
121,14
833,16
678,12
839,10
487,7
711,7
497,4
893,16
1173,10
867,7
118,13
542,7
493,7
820,1
1,10
97,13
433,7
298,3
941,11
1078,9
302,7
544,12
555,7
980,10
258,5
167,10
785,10
1110,7
269,12
1084,7
120,7
1120,15
481,7
654,16
709,13
745,11
672,7
960,10
1129,7
928,10
1055,7
570,13
725,1
795,7
527,7
1083,7
450,12
1073,10
919,7
76,7
909,5
78,10
423,7
1060,7
1197,7
350,13
682,7
1099,12
657,7
498,14
885,5
475,10
83,16
563,7
516,12
107,16
365,10
1066,7
1072,15
434,7
896,10
1012,10
133,13
911,5
1171,7
60,16
113,10
513,7
644,7
238,10
435,7
614,10
448,3
1111,7
653,10
1187,7
601,1
313,7
1142,12
608,7
1118,10
667,16
412,16
496,2
1184,16
864,14
1161,16
1015,16
579,10
1180,10
1114,7
390,12
274,10
744,9
74,7
17,13
784,7
705,16
514,9
402,15
254,7
1021,10
351,7
582,15
1101,11
46,7
1096,10
887,10
848,12
2,7
409,12
444,16
559,16
863,13
101,7
1100,16
140,7
376,10
280,9
39,12
876,10
619,3
1121,11
1042,5
1104,16
771,10
904,7
1198,15
844,16
616,11
480,10
1049,10
157,14
1148,7
724,10
595,16
857,7
1189,14
364,10
719,7
23,16
391,13
687,7
829,7
573,7
1156,7
875,14
871,5
851,10
108,10
1065,13
757,7
734,15
967,16
341,1
790,7
515,7
198,16
765,7
126,10
1172,9
524,12
506,7
427,10
972,7
901,7
82,16
1116,10
816,7
190,7
787,4
737,11
814,7
206,16
63,13
807,3
930,16
296,4
54,7
183,7
1164,4
953,7
938,7
846,10
999,12
1007,10
756,10
109,7
1027,12
694,5
398,16
96,13
55,16
883,7
753,13
1026,2
929,10
488,16
534,3
778,10
662,3
184,1
1035,10
483,15
1091,7
438,12
1149,12
810,3
1131,7
0,4
1196,12
342,7
1160,12
1041,15
1098,10
9,13
30,7
1132,11
1153,7
430,16
677,12
890,7
1011,10
971,7
679,10
166,16
1088,7
651,12
774,10
1089,7
304,5
1177,10
45,7
266,13
777,7
1025,13
276,16
446,12
336,2
1201,11
659,13
796,16
1039,7
1195,5
894,9
518,16
1070,7
1139,7
1022,7
102,9
727,16
469,7
899,7
746,7
349,7
441,3
990,2
878,2
1106,13
793,10
419,7
1016,7
670,7
245,16
652,9
754,13
509,16
100,7
50,14
566,7
615,7
262,7
116,9
742,3
551,7
1068,2
251,10
235,13
1124,13
626,7
363,7
228,7
912,7
696,7
1159,13
872,10
225,16
88,16
643,16
379,12
841,1
947,7
1018,10
1168,10
18,16
393,16
835,10
1076,7
852,7
586,10
594,16
460,4
568,16
418,16
1146,7
854,9
440,15
1014,16
1064,4
1082,14
664,3
818,7
106,4
143,16
257,1
1006,10
396,16
631,13
824,3
1009,13
1155,13
149,14
906,12
170,7
581,16
668,10
299,7
917,7
56,16
275,16
994,3
200,7
294,7
541,7
1163,7
895,1
815,5
926,10
853,11
33,10
798,7
189,7
992,7
309,7
611,12
1059,10
1154,9
681,12
968,10
492,10
374,7
471,15
420,10
1130,13
182,7
378,16
530,10
1067,5
263,9
622,4
768,14
148,10
920,16
357,12
1202,7
322,10
188,5
369,12
185,15
401,1
40,7
413,16
827,7
888,12
525,7
7,16
752,10
459,2
449,7
950,7
606,10
1080,10
355,5
111,7
6,16
831,1
870,7
954,7
303,7
993,13
691,10
194,16
624,7
767,10
786,7
208,14
153,16
965,10
808,5
371,10
836,11
485,1
1038,13
1158,10
311,7
519,10
131,10
358,9
326,13
3,2
773,11
1157,7
217,7
361,7
840,10
246,1
1183,12
877,7
28,13
366,11
1004,13
1048,7
457,7
638,7
903,15
174,16
464,7
291,16
145,16
945,7
886,16
703,7
587,15
41,3
688,7
641,10
385,14
175,7
472,5
125,15
400,16
922,7
473,7
253,13
936,10
942,7
154,3
908,7
639,15
706,16
466,16
1081,12
749,11
356,7
314,14
736,7
35,7
221,9
57,7
1077,4
640,1
995,16
1005,7
489,5
575,14
239,10
708,2
847,10
665,12
331,1
1002,7
370,7
320,10
1090,16
585,10
377,16
861,7
337,10
605,14
214,13
5,16
1144,10
486,7
1019,9
242,10
443,10
772,16
150,10
205,2
432,7
715,10
24,7
387,16
533,7
804,7
618,7
636,13
319,7
822,10
72,7
692,12
172,10
142,10
73,10
658,7
215,10
417,15
455,3
1095,10
264,2
123,13
842,16
1050,7
308,7
146,15
617,16
776,7
48,10
19,9
782,9
32,16
625,7
690,7
1103,7
368,7
1102,7
948,4
862,10
127,10
445,7
1190,10
951,7
1040,13
452,11
354,13
1145,16
138,12
632,10
103,3
663,1
590,7
439,12
564,7
476,1
702,14
11,14
43,1
1036,7
1029,16
837,7
1200,7
546,10
293,16
27,13
843,7
51,7
545,12
755,7
1179,7
300,7
561,2
794,14
775,16
921,16
394,10
71,7
629,7
859,2
1085,10
1175,7
267,7
819,10
589,12
845,7
1193,16
260,4
913,13
1031,10
98,10
428,14
259,2
613,7
164,14
849,7
898,7
20,4
983,10
386,7
731,7
67,4
59,10
422,13
381,7
1033,10
726,13
34,7
49,11
1094,7
740,13
287,4
735,16
346,4
407,10
227,10
683,4
415,7
799,16
1123,10
334,16
252,16
288,10
232,7
1191,10
210,12
141,7
592,10
620,13
132,14
270,13
500,13
738,3
404,7
1034,10
549,10
558,4
1051,16
467,7
698,7
399,10
828,2
505,7
42,12
718,10
981,7
1054,7
193,13
180,7
36,7
38,11
642,10
649,7
93,13
574,13
1010,7
821,7
986,10
195,2
104,14
424,14
1128,10
87,7
25,7
739,10
964,7
760,16
956,9
1071,10
925,13
484,10
411,14
134,12
866,16
1181,7
588,7
600,2
970,5
192,12
714,7
806,12
231,12
982,3
932,7
713,7
602,15
858,13
463,9
803,14
165,10
940,14
333,16
779,7
248,1
218,3
522,7
748,13
490,16
1162,7
94,7
1093,7
10,16
969,7
222,10
1032,7
869,7
1112,7
1003,7
1166,10
865,7
633,10
809,13
996,3
1176,12
478,7
14,7
927,3
596,7
962,1
1137,13
1107,7
1170,16
536,10
372,10
317,10
1192,7
817,14
494,10
360,4
81,13
197,13
112,7
717,13
1020,7
988,7
410,7
1147,15
576,13
1030,16
345,10
425,7
676,13
1167,13
316,15
955,14
75,13
977,13
338,13
406,10
139,10
461,7
553,12
1105,7
89,4
13,12
571,7
766,7
868,7
520,7
952,11
243,12
168,12
53,16
517,7
130,7
1125,7
855,5
880,4
135,7
699,4
213,7
612,10
1174,7
1037,7
728,9
151,7
603,10
882,3
656,12
325,7
655,10
712,13
271,11
220,13
684,16
884,7
834,14
90,7
704,7
750,10
281,7
186,13
1024,16
556,7
1134,7
1119,10
686,12
961,16
591,16
442,16
375,15
569,16
838,5
202,12
255,13
685,5
110,4
187,10
764,10
733,14
1169,7
482,13
91,11
1135,12
1194,7
547,3
1053,7
176,12
1127,11
1046,5
92,15
261,7
897,7
673,7
781,4
301,15
318,7
1013,16
1133,7
256,7
1108,7
156,10
729,7
247,12
85,10
1109,10
959,16
211,16
935,3
916,12
583,12
474,7
761,13
830,10
226,10
343,15
1058,15
637,7
572,5
598,7
403,10
144,7
623,14
701,15
330,7
874,13
1047,10
173,7
451,16
436,15
191,10
179,13
823,13
1150,5
1087,9
16,5
203,7
80,2
937,7
323,1
788,5
373,7
763,15
289,10
537,1
597,7
669,5
327,12
348,5
129,7
321,10
721,7
532,5
973,7
578,7
479,7
504,7
1204,13
1165,16
1079,16
1136,15
382,5
707,9
1069,4
468,10
567,7
1186,13
447,16
216,13
599,12
315,13
1113,16
362,16
700,7
1092,7
209,7
105,16
219,12
273,10
62,7
1028,10
985,7
881,16
1062,2
680,16
722,3
1097,16
1056,7
1141,13
244,12
26,11
234,12
4,12
1061,16
521,7
548,5
223,16
290,10
95,10
1001,7
1000,12
171,10
414,13
557,12
1122,7
1045,1
230,16
58,7
552,7
747,7
86,16
416,7
240,13
367,16
560,7
329,10
958,5
465,4
1086,7
923,16
1057,10
84,5
395,12
284,16
780,10
155,13
201,7
388,10
1188,16
610,12
943,1
584,7
52,7
751,13
1115,10
697,10
801,15
117,12
607,15
957,16
732,10
405,10
