,0,1,2,3,4,5,6,7,8,9,10,11,12,13
A,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,0.0,7.62939453125e-06,0.9999923706054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
D,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0
E,0.0,0.0,0.0,0.0,0.9999961853027344,0.0,0.0,0.0,0.0,0.0,3.814697265625e-06,0.0,0.0,0.0
F,0.0,0.0,0.0,7.629394531138978e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.049992370605468794,0.0,0.0,0.95
G,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.62939453125e-06,0.9999923706054688,0.0,0.0,0.0,0.0,0.0
J,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,7.62939453125e-06,0.9999923706054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,0.0,0.0,0.0,0.0,7.629394531138978e-06,0.0,0.0,0.0,0.0,0.0,0.9999923706054689,0.0,0.0,0.0
