clone_id,0,1,2,3,4,5,6,7,8,9,10,11
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
E,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1,1.0,0.0,0.8,0.31009615384615385
G,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444
H,0.29178370786516855,1.0,1.0,1.0,1.0,1.0,0.5555555555555556,0.18808962264150944,1.0,0.0,0.4134182908545727,1.0
J,0.6,1.0,0.0,1.0,1.0,1.0,0.10192307692307692,1.0,1.0,0.0,0.631578947368421,0.5119115144639819
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
