clone_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
A,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7272727272727273,0.0,1.0,1.0,0.0,1.0,0.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,1.0,0.17424242424242425,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,0.2222222222222222,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
D,1.0,0.0,0.5472370766488414,0.2222222222222222,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.2,1.0,1.0,0.0,1.0,0.0
E,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
F,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
H,1.0,0.0,0.7717121588089331,0.3333333333333333,0.14285714285714285,1.0,1.0,1.0,0.0,1.0,1.0,0.46153846153846156,0.2222222222222222,1.0,1.0,0.0,1.0,0.0
I,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
J,1.0,0.0,0.8268365817091454,0.5263157894736842,0.3333333333333333,1.0,1.0,1.0,0.2857142857142857,1.0,0.2857142857142857,0.5909090909090909,0.4,1.0,1.0,1.0,1.0,0.4444444444444444
K,1.0,0.0,0.8,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5833333333333334,0.36363636363636365,1.0,1.0,0.19375,1.0,0.14285714285714285
