clone_id,0,1,2,3,4,5,6
A,0.0,0.5,0.0,0.7272727272727273,0.0,0.7272727272727273,0.6000000000000001
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.6666666666666666,0.0,0.8,0.0,0.8181818181818182,0.0
D,0.0,0.8,0.6666666666666666,0.8666666666666667,0.0,0.8793103448275861,0.0
E,0.0,0.0,0.0,0.0,0.0,1.0,0.0
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.8,0.0,0.8387096774193549,0.0,0.8695652173913043,0.0
I,0.0,0.0,0.0,1.0,0.0,1.0,0.0
J,0.0,0.8484848484848485,0.0,0.9067441860465115,0.4444444444444444,0.9142857142857143,0.14186507936507936
K,0.0,0.8,0.0,0.8695652173913043,0.0,0.8666666666666667,0.0
