,0,1,2,3,4,5,6,7,8,9
A,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,0.0,1.0,-5.551115123125783e-17,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.469446951953614e-18,0.0,0.0
D,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.0
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999999999999988,0.9500000000000002
G,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,0.6666666666666666,0.0
K,0.0,0.19999999999999996,0.75,0.05,0.0,0.0,0.0,0.0,0.0,0.0
L,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
