,0,1,2,3,4,5,6,7,8
A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C,0.0,0.0,0.0,0.0,0.0,0.0,-1.6490077277520747e-17,1.0,0.0
D,0.0,0.0,0.0,0.0,0.0,0.0,0.04999999999999993,0.0,0.9500000000000001
E,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
F,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
I,0.0,0.0,0.0,0.0,0.0,0.04999999999999999,0.9500000000000011,0.0,0.0
J,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
