clone_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13
A,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
B,0.0,1.0,0.0,1.0,1.0,0.8,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
C,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
D,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
E,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
F,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6720430107526881,1.0,1.0,1.0
G,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.4,1.0,0.0,1.0,1.0,1.0
H,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
I,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
J,0.0,1.0,0.5714285714285714,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
K,0.0,1.0,1.0,0.0,0.6166666666666667,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.9166666666666666
L,0.0,0.0,0.0,1.0,0.75,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
M,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
