clone_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
A,0.8,0.0,0.0,0.0,0.0,0.7272727272727273,0.6666666666666666,0.6862745098039216,0.0,0.0,0.8571428571428571,0.0,1.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.8
B,0.8181818181818181,0.0,0.0,0.0,0.75,0.6666666666666666,0.5454545454545454,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.8823529411764706,0.0,0.0,0.0
C,0.8826949384404925,0.0,0.22435897435897434,0.690282131661442,0.8648648648648649,0.8695652173913043,0.8604651162790697,0.8652682533279548,0.0,0.6666666666666666,0.8888888888888888,0.0,0.5,0.6,0.3125,0.8913043478260869,0.27586206896551724,0.0,0.7777777777777778
D,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.4444444444444444,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,1.0,0.0
E,0.8571428571428571,0.0,0.0,0.6363636363636364,0.851063829787234,0.8639434889434889,0.8421052631578947,0.8636363636363636,0.0,0.6,0.8745598591549295,0.6000000000000001,0.5,0.6849624060150377,0.12701612903225806,0.8888888888888888,0.14285714285714285,0.2319327731092437,0.6666666666666666
F,0.8,0.0,0.0,0.0,0.8571428571428571,0.0,0.6666666666666666,0.8333333333333334,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.8571428571428571,1.0,0.0,1.0
G,0.75,0.6666666666666666,0.0,0.0,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.7777777777777778,0.0,0.6798245614035088,0.8333333333333334,0.0,0.0,0.7692307692307693,0.0,0.8104890604890606,0.0,0.0,0.0
H,0.3,0.0,0.0,0.6000000000000001,0.7058823529411765,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.8571428571428571,0.0,0.0,0.5714285714285714
I,0.8333333333333334,0.0,0.0,0.0,0.8235294117647058,0.8,0.8181818181818182,0.8235294117647058,0.0,0.0,0.8636363636363636,0.0,0.0,0.0,0.0,0.8666666666666667,0.0,0.0,0.0
J,0.7,0.0,1.0,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.707983193277311,0.6666666666666666,0.0,0.0,0.8,0.0,0.0,1.0,0.0,0.75,0.0,0.0,0.4
K,0.8666666666666667,0.0,0.0,0.672463768115942,0.8571428571428571,0.8421052631578947,0.8421052631578947,0.835820895522388,0.0,0.0,0.8837209302325582,0.0,0.42857142857142855,0.0,0.0,0.8780487804878049,0.0,0.0,0.7058823529411765
