clone_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
A,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
B,0.125,0.6666666666666666,0.0,0.7058823529411765,0.8571428571428571,0.7272727272727273,0.6666666666666666,0.0,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.0,0.0,0.5981481481481481
C,0.0,0.75,0.7029411764705882,0.7692307692307693,0.7119815668202765,0.8,0.75,0.0,0.8,0.7,0.7407407407407407,0.75,0.75,0.7735042735042735,0.7378167641325536,0.0,0.6666666666666666,0.7272727272727273
D,0.5714285714285714,0.8,0.0,0.8275862068965517,0.8,0.8571428571428571,0.8,0.0,0.8387096774193549,0.7894736842105263,0.8464646464646465,0.8473193473193473,0.8181818181818182,0.8235294117647058,0.7529761904761905,0.5217391304347826,0.6666666666666666,0.8421052631578947
E,0.0,0.5,0.0,0.5,1.0,0.8,0.5,0.0,1.0,0.0,0.0,0.8,0.8888888888888888,0.0,0.0,0.0,1.0,0.5340909090909091
F,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
G,0.6011627906976744,0.8571428571428571,0.0,0.8571428571428571,0.84,0.8571428571428571,0.8571428571428571,0.0,0.8571428571428571,0.8181818181818182,0.8571428571428571,0.8620689655172413,0.8571428571428571,0.8631907308377897,0.8090856814261069,0.6666666666666666,0.7272727272727273,0.8333333333333334
H,0.0,0.75,0.0,0.6666666666666666,0.6666666666666666,0.75,0.75,0.0,0.8,0.5,0.6076923076923078,0.75,0.75,0.75,0.5714285714285714,0.0,0.5714285714285714,0.75
I,0.0,0.7272727272727273,0.0,0.9230769230769231,0.6666666666666666,0.75,0.6666666666666666,0.0,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7058823529411765,0.75,0.75,0.0,0.5714285714285714,0.22863247863247865
J,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
K,0.0,0.6666666666666666,0.2950310559006211,0.7272727272727273,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.743421052631579,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.5,0.696078431372549
