clone_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
E,1.0,0.0,1.0,0.0,1.0,0.3529411764705882,0.9497881355932203,1.0,1.0,1.0,1.0,0.0,0.8,1.0,1.0,0.4,0.048490127758420445,1.0,0.8571428571428571
G,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
H,1.0,0.0,0.24324324324324326,1.0,1.0,1.0,0.9648786717752236,1.0,1.0,1.0,1.0,0.7349284541402769,0.41156325543916195,1.0,1.0,0.8571428571428571,0.0,1.0,1.0
J,1.0,0.0,0.5333333333333333,0.0,1.0,1.0,0.934456071940156,1.0,1.0,1.0,1.0,0.2,0.6283628779979145,1.0,1.0,0.75,1.0,1.0,0.9179771058565069
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
