,0,1,2,3,4,5,6,7,8,9
A,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
D,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999999999999993,0.9500000000000001
G,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.3333333333333335,0.0,0.0,0.0,0.6666666666666665,0.0
K,0.0,0.19999999999999996,0.75,0.05,0.0,0.0,0.0,0.0,0.0,0.0
L,0.0,0.0,0.0,0.049999999999999045,0.950000000000001,0.0,0.0,0.0,0.0,0.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
