cell,V1,V2
214,-11.1518011598154,-0.602808444960551
854,-11.0733595399423,-0.689430563910441
21,-11.0644445924325,-0.700593440993265
263,-11.0929794816537,-0.699120729430155
651,-11.2515097169443,-0.512352912886576
970,-10.88210301681,-0.823429315550761
487,-11.017525723414,-0.706952422125773
666,-11.103309681849,-0.660708754523234
453,-11.0977297334238,-0.663558691008524
395,-11.1719389466806,-0.588352888091044
421,-11.1440020112558,-0.616624324782328
974,-11.1230030564828,-0.635632722838358
583,-10.9809103517099,-0.752895563109354
152,-10.9653969316049,-0.757952778799967
191,-11.1585026292367,-0.609257429106669
732,-11.1151228456064,-0.657957642538981
812,-11.1126194505258,-0.653564899428324
1039,-11.101959279017,-0.64963850305839
630,-10.9388809709115,-0.786010830862955
264,-11.0522490052743,-0.705085485442118
242,-11.0897264985605,-0.669762580855326
870,-10.9445076493783,-0.777879922850565
683,-11.1460896043344,-0.620012848837809
150,-11.1209021119638,-0.585616558058695
547,-10.9918928651376,-0.738886445029215
290,-11.1631145982309,-0.600776999457316
209,-11.1343260316415,-0.626623123152689
609,-10.9620314149423,-0.763278334601359
771,-11.1573019532724,-0.608739941580729
643,-10.9670181779428,-0.754064767821268
614,-11.0454130677743,-0.686854331953959
140,-11.1549721269174,-0.621026962264017
154,-2.72960834784941,-3.78708693311973
1072,-2.55702524466948,-3.68394192980094
338,-2.59583978934721,-3.73244365976615
87,-2.88851313872771,-4.03754326628013
789,-2.57634549422698,-3.72167608068748
555,-2.62099867148833,-3.76169261263175
778,-2.57426266951994,-3.72772857473655
779,-2.76962452216582,-3.86502489374443
463,-2.6318610219522,-3.75097283647819
911,-2.62701611800627,-3.7598256759481
42,-2.6032941846414,-3.74733838365837
632,-2.59432893081145,-3.74060639665885
507,-2.6239195375009,-3.73819956110282
536,-2.75542979522185,-3.89156874941154
291,-2.68488221450285,-3.77935311125083
657,-2.8421857862039,-3.95548888967796
664,-2.62840466781096,-3.75895711706443
638,-2.63854413314299,-3.80619177149101
137,-2.61474733634429,-3.74524947927757
523,-2.88409953399138,-4.03431650923057
799,-2.61094479842619,-3.74995002077384
1033,-2.76389055533843,-3.89155635164543
461,-2.57848124785857,-3.73156723306938
425,-2.76761489196257,-3.85609683321281
457,8.89348692612215,-1.96819153354927
1059,9.00594706253572,-1.86824017689987
158,9.07105440811677,-1.58522531317039
792,8.91868681625886,-1.91532903836532
554,9.04224009232088,-1.64628437088294
849,8.86283487991853,-1.84472912476821
780,9.02426905350252,-1.65688171909614
943,8.93546576218172,-1.95332428739829
686,8.90297407822175,-1.94938298986717
968,8.90867132858797,-1.91772544310852
238,8.96087259964509,-1.66399112270637
394,8.87232012466951,-1.84473985360427
1026,9.01378626541658,-1.69421902225776
