cell,cluster
214,1
854,1
21,1
263,1
651,1
970,1
487,1
666,1
453,1
395,1
421,1
974,1
583,1
152,1
191,1
732,1
812,1
1039,1
630,1
264,1
242,1
870,1
683,1
150,1
547,1
290,1
209,1
609,1
771,1
643,1
614,1
140,1
154,10
1072,10
338,10
87,10
789,10
555,10
778,10
779,10
463,10
911,10
42,10
632,10
507,10
536,10
291,10
657,10
664,10
638,10
137,10
523,10
799,10
1033,10
461,10
425,10
457,11
1059,11
158,11
792,11
554,11
849,11
780,11
943,11
686,11
968,11
238,11
394,11
1026,11
786,11
270,11
410,11
950,11
857,11
532,11
920,11
175,11
569,11
396,11
183,11
995,11
113,11
865,11
971,11
417,11
456,11
201,11
875,11
822,11
138,11
579,11
1061,11
962,11
1016,11
941,11
642,11
717,11
925,11
1062,11
700,11
843,11
40,12
212,12
332,12
949,12
415,12
359,12
901,12
41,12
401,12
157,12
602,12
935,12
955,12
166,12
540,12
798,12
951,12
428,12
161,12
432,13
101,13
538,13
236,13
168,13
1083,13
73,13
164,13
826,13
825,13
334,13
1053,13
246,13
704,13
146,13
947,13
916,13
1079,13
429,13
543,13
304,13
867,13
120,13
899,13
58,13
851,13
957,13
460,13
958,13
495,13
494,13
885,13
1098,13
823,13
748,13
254,13
315,13
908,13
365,13
198,13
368,13
249,13
553,13
109,13
819,13
122,13
508,13
1041,13
358,13
596,13
890,13
174,13
695,13
866,13
239,13
465,13
734,13
344,13
558,13
386,13
937,13
914,13
563,13
745,13
23,13
132,13
685,13
612,13
108,13
959,13
134,13
729,13
919,13
147,13
565,13
594,13
97,13
659,13
806,13
994,14
915,14
100,14
809,14
1045,14
731,14
987,14
469,14
356,14
424,14
1064,14
63,14
169,14
271,14
816,14
1058,14
22,14
774,14
67,14
1018,14
738,14
213,14
976,14
211,15
1004,15
567,15
390,15
1035,15
19,15
577,15
307,15
627,15
619,15
590,15
216,15
635,15
820,15
513,15
217,15
420,15
1042,15
52,15
93,15
293,15
902,15
272,15
767,15
82,15
829,15
531,15
900,15
773,15
660,15
55,15
930,15
1090,15
656,15
862,15
960,15
663,15
1013,15
155,15
445,15
36,15
998,15
16,15
1022,15
431,15
1029,15
869,15
653,15
348,15
639,15
485,15
479,16
933,16
250,16
255,16
982,16
207,16
511,16
229,16
637,16
5,16
527,16
863,16
815,16
533,16
341,16
204,16
906,16
743,16
142,16
205,16
1003,16
706,16
192,16
991,17
480,17
430,17
419,17
893,17
714,17
1001,17
1008,17
451,17
195,17
835,17
409,17
757,17
824,17
10,17
831,17
852,17
720,17
765,17
234,17
828,17
459,17
883,17
423,17
232,17
921,17
1095,17
131,17
894,17
886,17
490,17
466,17
760,17
576,17
677,17
106,17
405,17
102,17
622,17
805,17
476,17
435,17
123,17
441,17
623,17
355,17
500,17
1002,17
167,17
810,17
292,17
535,17
148,17
412,17
1080,17
833,17
1093,17
966,17
372,17
