,0,1,2,3,4,5,6,7,8
A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
F,0.0,1.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,0.0,0.0,0.049999999999998046,0.0,0.950000000000002
H,0.0,0.0,1.9459070412305635e-09,0.0,0.0,1.9459070412305635e-09,0.0,-3.891813982193071e-09,1.0
I,0.0,0.0,0.0,0.2,0.0,0.05,0.75,0.0,0.0
J,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.7049689440993787,0.2950310559006213,0.0
