,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,-0.0,-0.0,-0.0,1.0,0.9999961853027345,0.0
2,1.0,0.0,0.0,-0.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,1.0,-0.0,-0.0,-0.0,1.0,1.0,0.0
3,1.0,-0.0,-0.0,1.0,1.0,1.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,1.0,-0.0,-0.0,-0.0,1.0,1.0,-0.0
4,1.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,-0.0,-0.0,-0.0,1.0,1.0,-0.0
5,1.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,1.0,-0.0,0.0,1.0,-0.0,-0.0,-0.0,1.0,1.0,-0.0
6,1.0,-0.0,0.0,1.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,1.0,-0.0,0.0,1.0,-0.0,-0.0,-0.0,1.0,1.0,1.9073486328125e-06
7,1.0,-0.0,-0.0,0.9999932437910439,0.9999932437910439,1.0,0.9999932437910439,0.0,-0.0,-0.0,0.9999932437910439,-0.0,0.0,1.0,-0.0,0.9999932437910439,-0.0,1.0,0.9999932437910439,1.9073486328125e-06
8,1.0,-0.0,-0.0,1.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,1.0,-0.0,0.0,1.0,-0.0,1.0,-0.0,1.0,1.0,-0.0
9,1.0,-0.0,0.9999961871499327,1.0,1.0,1.0,1.0,0.0,-0.0,-0.0,1.0,-0.0,0.0,1.0,-0.0,1.0,-0.0,1.0,1.0,0.0
10,1.0,-0.0,0.9999961871499327,1.0,1.0,1.0,1.0,0.0,-0.0,-0.0,1.0,-0.0,0.0,1.0,-0.0,1.0,-0.0,1.0,1.0,1.9073486328125e-06
11,1.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.9073486328125e-06,-0.0,1.0,1.0,0.0,0.0,1.0,-0.0,1.0,-0.0,1.0,1.0,1.9073486328125e-06
12,1.0,0.0,1.9073486335190415e-06,1.0,1.0,1.0,1.0,0.9999980926513672,-0.0,0.9999980926513665,1.0,-0.0,0.0,1.0,-0.0,1.0,-0.0,1.0,1.0,1.9073486328125e-06
13,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-0.0,-0.0,1.0,1.0,1.0,0.0,1.0,-0.0,1.0,-0.0,1.0,1.0,1.9073486328125e-06
14,1.0,0.9999961871499327,-0.0,1.0,1.0,1.0,1.0,-0.0,3.812850067296803e-06,1.0,1.0,1.0,0.0,1.0,-0.0,1.0,-0.0,1.0,1.0,3.8128500672968035e-06
15,1.0,-0.0,-0.0,1.0,1.0,1.0,1.0,-0.0,0.9999961871499327,1.0,1.0,1.0,0.0,1.0,-0.0,1.0,-0.0,1.0,1.0,3.812850067296803e-06
16,1.0,-0.0,1.0,1.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,1.0,-0.0,0.0,1.0,0.9999961871499328,1.0,3.8128500666799975e-06,1.0,1.0,3.812850067296804e-06
17,1.0,0.0,-0.0,1.0,1.0,1.0,1.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,1.0,3.8128500672307553e-06,1.0,0.9999923742998655,1.0,1.0,3.812850067296804e-06
18,1.0,0.0,7.6257001351036614e-06,1.0,1.0,1.0,1.0,-0.0,-0.0,0.9999900472581591,1.0,-0.0,0.0,1.0,-0.0,1.0,0.9999900472581599,1.0,1.0,6.139891772886043e-06
