clone_id,0,1,2,3,4,5,6,7,8,9,10
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,0.6666666666666666,0.0,0.8571428571428571,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.8
E,0.5714285714285714,0.8215508806262231,0.0,0.6931438127090301,0.0,0.6153846153846154,0.0,0.0,0.4444444444444444,0.0,0.23669467787114845
G,0.0,0.5357142857142857,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.8571428571428571,0.8,0.7692307692307693,0.5294117647058824,0.73022412656559,0.3333333333333333,0.0,0.6904761904761905,0.0,0.0
J,0.1,0.8533620689655173,0.0,0.7103864734299518,0.23529411764705882,0.6428571428571428,0.0,0.5714285714285714,0.5833333333333334,0.0,0.169811320754717
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
