,0,1,2,3,4,5,6,7,8
A,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,0.0,1.0,0.0,-3.406775814610727e-17,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,4.360030723818111e-17,1.0,0.0,0.0
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
H,1.1104611239257808e-16,0.0,0.0,0.0,0.0,0.19999999999999984,0.0,0.27368421052631586,0.5263157894736842
J,0.0,0.0,0.3117021276595744,0.05000000000000002,0.0,0.3049645390070923,0.33333333333333315,0.0,0.0
M,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,-3.406775814610727e-17,0.0,0.0
P,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
