,0,1,2,3,4,5,6,7,8
A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,0.0,-6.661338147750939e-16,0.0,0.0,1.0000000000000007,0.0
C,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
D,0.0,0.0,0.0,0.0,0.0,0.050000000000000044,0.0,0.642307692307692,0.30769230769230793
E,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
F,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,9.933574430856665e-17,0.0,0.0,0.0,1.0,0.0
H,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0
I,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
J,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.04999999999999938,0.0,0.283333333333334,0.0,0.6666666666666666,0.0,0.0
