clone_id,0,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0,1.0,0.0,0.7083333333333333,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
B,0.775,0.11538461538461539,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.0,1.0,1.0
C,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,0.0,1.0,1.0
D,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
E,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0
F,1.0,1.0,1.0,1.0,0.5555555555555556,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
G,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
H,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
I,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5454545454545454,1.0,1.0,1.0,1.0,1.0
J,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5714285714285714,0.0,1.0,0.0,1.0,1.0
K,0.0,0.0,0.0,0.775,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
L,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
M,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
