,0,1,2,3,4,5,6,7,8
A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,0.0,-1.110223024625155e-17,0.0,0.0,1.0,0.0
C,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
F,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6842105263157896,0.31578947368421045
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
I,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
J,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.04999999999999938,0.0,0.283333333333334,0.0,0.6666666666666666,0.0,0.0
