,0,1,2,3,4,5,6,7,8
A,0.0,0.0,1.887379141862766e-15,0.9999999999999983,0.0,1.7763568394002505e-15,0.0,0.0,0.0
B,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,2.220446049250313e-16,0.9999999999999999
C,0.0,0.0,0.0,0.0,0.0,0.0,0.2970588235294125,0.7029411764705875,0.0
D,0.0,0.0,0.0,0.0,0.0,0.0,0.04999999999999993,0.0,0.9500000000000001
E,0.0,0.0,-6.167905692361934e-18,0.0,0.9999999999999999,0.0,0.0,0.0,0.0
F,8.32667268468865e-17,0.9999999999999996,0.0,4.440892098500628e-16,2.775557561562889e-17,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,1.6702039361686908e-17,0.0,0.0,0.0,0.9999999999999999
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
I,0.0,0.0,0.0,0.0,-1.0547118733938987e-15,0.04999999999999999,0.9500000000000011,0.0,0.0
J,0.0,0.0,0.9999999999999992,-1.3322676295501878e-15,6.661338147745635e-17,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
