,0,1,2,3,4,5,6,7,8
A,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
H,0.0,0.0,0.0,0.0,0.0,1.0758061108617767e-13,0.5263157894737351,0.0,0.4736842105261573
J,0.0,0.0,0.36170212765957444,0.0,0.0,0.05000000000000002,0.0,0.5882978723404255,0.0
M,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
P,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
