clone_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
A,0.0,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
B,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,1.0,0.8571428571428571,0.0,1.0,0.0
C,1.0,1.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6794871794871795,0.0
D,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
E,0.0,0.5785714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.8,1.0,0.0,0.0
F,0.0,1.0,0.2936507936507936,0.75,0.5340909090909091,0.75,0.6844405594405594,0.0,0.0,0.5714285714285714,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0
G,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
H,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.5,0.0
I,0.0,1.0,0.0,0.7742914979757085,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,1.0,0.41428571428571426,0.8,0.0
J,0.0,1.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
K,0.0,0.7625,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.75,0.0,0.0,0.0
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
M,0.0,1.0,0.0,0.8083333333333333,0.5,0.7329545454545454,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,1.0,0.42857142857142855,0.8,1.0
