,0,1,2,3,4,5,6,7,8
A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
C,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
D,0.0,0.0,0.0,-9.71445146547012e-17,9.71445146547012e-17,0.050000000000000044,0.0,0.642307692307692,0.3076923076923077
E,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
F,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
I,0.0,0.0,0.0,0.0,0.04999999999999992,0.9500000000000001,0.0,0.0,0.0
J,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.04999999999999999,0.9500000000000001,0.0,0.0
