clone_id,0,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,0.8333333333333334,0.8571428571428571,0.0,0.0,0.8888888888888888,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666
E,0.0,0.8932038834951457,0.6666666666666666,0.0,0.0,0.6570599613152804,0.0,0.8167613636363635,0.0,0.48,0.4,0.4666666666666667,0.1111111111111111
G,0.0,0.6818181818181818,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
H,0.0,0.9292929292929293,0.7529411764705882,0.32142857142857145,0.0,0.7407407407407407,0.5172413793103449,0.0,0.23529411764705882,0.7671872347648956,0.6129032258064516,0.717948717948718,0.0
J,0.0,0.9019607843137255,0.6960000000000001,0.43243243243243246,0.3333333333333333,0.6666666666666666,0.0,0.08664596273291925,0.0,0.6000000000000001,0.5151515151515151,0.642028734637355,0.1875
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
