,0,1,2,3,4,5,6,7,8
A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
F,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.05
I,0.026923076923076716,0.0,0.0,0.17307692307692324,0.0,0.04999999999999999,0.75,0.0,0.0
J,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,-1.1143294292214876e-16,1.0000000000000002,0.0
