,0,1,2,3,4,5,6,7,8
A,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
H,0.0,0.0,0.0,0.0,0.19999999999999996,0.0,0.0,0.2736842105263223,0.5263157894736777
J,0.0,0.0,0.0,0.3617021276595751,0.019250253292809716,0.2857142857142858,0.3333333333333294,0.0,0.0
M,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
P,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
