,0,1,2,3,4,5,6,7,8
A,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,1.0,-4.4659347231162306e-17,0.0,0.0
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
H,0.0,0.0,0.0,0.0,0.19999999999999996,0.0,0.0,0.2736842105263158,0.5263157894736842
J,0.0,0.0,-5.551115123125783e-17,0.36170212765957444,0.0,0.5882978723404255,0.04999999999999996,0.0,0.0
M,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
P,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
