clone_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.8571428571428571,1.0,0.8571428571428571,0.0,0.8,0.0
E,0.6666666666666666,0.0,0.0,0.0,0.6,0.4406779661016949,0.5284421460892049,0.5185185185185185,0.6153846153846154,1.0,0.8571428571428571,0.0,0.2291208791208791,0.23529411764705882
G,1.0,0.0,0.0,0.0,0.0,1.0,0.5217391304347826,0.0,0.0,1.0,1.0,1.0,0.0,0.8
H,0.75,0.0,0.0,0.5263157894736842,0.0,0.7472527472527473,0.5640350877192982,0.41025641025641024,0.7407407407407407,1.0,1.0,0.2374899112187248,0.0,0.7111111111111111
J,0.6923076923076923,0.0,0.5454545454545454,0.0,0.35294117647058826,0.6363636363636364,0.5878239407651172,0.5538461538461539,0.6502788104089219,0.975,0.8913043478260869,0.0,0.14285714285714285,0.5925925925925926
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
