,0,1,2,3,4,5,6,7,8
A,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
H,0.0,0.0,0.0,0.050000000000000044,0.0,0.0,0.5263157894736842,0.0,0.4236842105263158
J,0.0,0.0,0.0,0.0,0.6166666666666683,0.05000000000000002,0.0,0.33333333333333315,0.0
M,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
P,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
